batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,batch_emissions_mg,update_emissions_mg,updated
353,353000,incremental,0.03133650358056299,0.018435754189944135,0.027813143181776363,0.15083798882681565,0.04876119289011991,0.013966480446927373,0.033484776148040615,0.20670391061452514,0.0584439895267593,155.02671390871248,0.0,False
354,354000,incremental,0.017986966920031152,0.01417910447761194,0.021001864298589943,0.1044776119402985,0.030930766813948872,0.011194029850746268,0.02440469379715025,0.15671641791044777,0.05275631901509864,151.62584507164706,0.0,False
355,355000,incremental,0.03716902371518513,0.02155688622754491,0.03475519383611436,0.17365269461077845,0.06144903512094503,0.017365269461077845,0.04321126227990263,0.2694610778443114,0.07328775900710978,157.47786612096277,0.0,False
356,356000,incremental,0.03892760146148781,0.02138364779874214,0.03174605607305007,0.18238993710691823,0.055511521970804126,0.014779874213836478,0.03542706705517975,0.24528301886792453,0.05905223293213246,150.37150056640414,0.0,False
357,357000,incremental,0.029180978408250076,0.015068493150684932,0.022406851984542328,0.13013698630136986,0.05132332406515464,0.014726027397260276,0.031327385038092015,0.2328767123287671,0.039545676225560863,153.8555448198156,0.0,False
358,358000,incremental,0.03376342525832805,0.024375,0.032595932534798325,0.1875,0.050876660883460545,0.0190625,0.03851577706000548,0.25625,0.06520252864825234,152.5961197454545,0.0,False
359,359000,incremental,0.028746273968157786,0.017058823529411765,0.023889660347255853,0.1411764705882353,0.040496614455229805,0.011764705882352941,0.027276566839504857,0.17647058823529413,0.048555608048642104,152.1331405034479,0.0,False
360,360000,incremental,0.03007458588361229,0.01694915254237288,0.02414603759570272,0.14124293785310735,0.04485373328987834,0.013841807909604521,0.030524913095000297,0.2033898305084746,0.050124265989171274,160.43135404041064,666.8786333749593,True
361,361000,incremental,0.03173160438287827,0.01974522292993631,0.03304526130729673,0.16560509554140126,0.04862358628939908,0.01687898089171975,0.03928941560685368,0.2356687898089172,0.0768712058604784,153.77163758103356,0.0,False
362,362000,incremental,0.021982601860650642,0.0125,0.021258879695809127,0.11904761904761904,0.04240261730462079,0.012797619047619047,0.029911503876552555,0.19642857142857142,0.049875048703692006,155.75004635665775,0.0,False
363,363000,incremental,0.031298744637237925,0.022222222222222223,0.031067838260199314,0.17037037037037037,0.037695311691413054,0.015555555555555557,0.03243103248848337,0.2074074074074074,0.06250614611725722,156.63113796057087,0.0,False
364,364000,incremental,0.03181723843782296,0.020731707317073172,0.028932898876147316,0.15853658536585366,0.053814491527380506,0.017987804878048776,0.03692406600675712,0.22560975609756098,0.0574961021562528,157.2882038247195,0.0,False
365,365000,incremental,0.026954852738496973,0.02088607594936709,0.03394194381438855,0.17721518987341772,0.052369948367200186,0.01930379746835443,0.042276696618982076,0.25949367088607594,0.09170576813814656,156.6395139500909,0.0,False
366,366000,incremental,0.021557226005078763,0.0147239263803681,0.019709660927650665,0.1165644171779141,0.04347026524940635,0.013803680981595092,0.028176330464181373,0.2147239263803681,0.04648535019695916,147.25854536641603,0.0,False
367,367000,incremental,0.01567152678304549,0.010919540229885059,0.0171407047785095,0.09195402298850575,0.025987287578141085,0.010057471264367818,0.02137079450945188,0.14367816091954022,0.04435877819498509,147.02027463797674,0.0,False
368,368000,incremental,0.027900678007352794,0.01450777202072539,0.027597621543478293,0.12435233160621761,0.050877485310584974,0.012435233160621763,0.03570809148515638,0.19170984455958548,0.06395352314119057,146.83688039891786,0.0,False
369,369000,incremental,0.03459106458675424,0.017,0.0315377586319279,0.15,0.058063071373658716,0.014250000000000002,0.04072077011009708,0.225,0.06644514717308836,148.48388244163846,0.0,False
370,370000,incremental,0.02664123611083294,0.017977528089887642,0.024756327641095383,0.14606741573033707,0.04904939495157604,0.015730337078651683,0.03240160832792019,0.20786516853932585,0.048443178966146576,147.74808624043456,0.0,False
371,371000,incremental,0.028929600806984482,0.0152046783625731,0.023702367767917502,0.1286549707602339,0.03823426342972491,0.011403508771929825,0.02672886281558602,0.19298245614035087,0.04585075657057081,149.80150698018502,0.0,False
372,372000,incremental,0.041617862424314034,0.02064516129032258,0.033684805423879395,0.16774193548387098,0.07053768179954138,0.01741935483870968,0.04455659452209194,0.25806451612903225,0.06630045515144886,146.54911405956318,0.0,False
373,373000,incremental,0.03995148358246659,0.026119402985074626,0.03515470886130151,0.208955223880597,0.05506751640307997,0.01828358208955224,0.0389003556175665,0.2462686567164179,0.06563141765073285,147.6420890325486,0.0,False
374,374000,incremental,0.028367906316822723,0.018235294117647058,0.029107281424372206,0.1411764705882353,0.05047548799096786,0.015882352941176472,0.036296667371154855,0.20588235294117646,0.06269176024707804,146.64861376975645,0.0,False
375,375000,incremental,0.035918391428905634,0.020710059171597635,0.030636770671912672,0.1952662721893491,0.060102006958675014,0.01775147928994083,0.03960542674180939,0.28402366863905326,0.06459030415077642,154.53212725440036,0.0,False
376,376000,incremental,0.02190095008269268,0.011340206185567012,0.019314694351995128,0.10309278350515463,0.0352410149433761,0.00979381443298969,0.024083312663551317,0.17010309278350516,0.04552875952966917,158.90233204660097,0.0,False
377,377000,incremental,0.02586563527548831,0.016867469879518072,0.023739109366510427,0.13855421686746988,0.04205621299003916,0.014759036144578314,0.02942713581820865,0.22289156626506024,0.055195999468678425,156.13344396460394,0.0,False
378,378000,incremental,0.022736203539915404,0.013903743315508022,0.021042888445181946,0.11229946524064172,0.042466933646549875,0.014171122994652409,0.02937364373548002,0.20855614973262032,0.04948949953026872,146.2820250563296,0.0,False
379,379000,incremental,0.02831642132884369,0.017391304347826087,0.028136337012432216,0.13043478260869565,0.04720942863170118,0.015217391304347827,0.03521494667073954,0.19875776397515527,0.06233427228033308,146.14867088233453,0.0,False
380,380000,incremental,0.03510433280170122,0.020526315789473684,0.029901596935178278,0.1736842105263158,0.055100024244761084,0.017894736842105262,0.03900956119006363,0.23684210526315788,0.062472392791970754,158.57471935475098,844.9535263542057,True
381,381000,incremental,0.02578751657699026,0.012834224598930483,0.023816745412349207,0.10160427807486631,0.04302626910986044,0.010962566844919785,0.02988663836984997,0.17647058823529413,0.04909675361861584,161.25633133373674,0.0,False
382,382000,incremental,0.02616421928313904,0.016993464052287584,0.02276726523565916,0.1503267973856209,0.044579095479517175,0.016339869281045756,0.030067268551062395,0.2222222222222222,0.04895431231253486,159.26509565876435,0.0,False
