batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,n_unique_users,window_unique_users,window_unique_untrained_users,n_users_trained
65,65000,0.00851063829787234,0.0012765957446808512,0.0030269592924688183,0.0,0.0,0.0,0.0024783147459727386,0.00037174721189591083,0.0008814565473731998,0.5861214374225526,473,692,567,572,0.7087980173482032,807,3996,3056,65679
66,66000,0.0,0.0,0.0,0.005787037037037037,0.0007716049382716049,0.0035145959818183416,0.004512635379061372,0.0006016847172081829,0.002740623581490115,0.6654632972322503,553,756,646,648,0.779783393501805,831,4762,3670,65679
67,67000,0.010106382978723403,0.002127659574468085,0.0051617332784641215,0.0030721966205837174,0.00030721966205837174,0.001188487887049283,0.004648390941597139,0.0007151370679380214,0.002078797938999211,0.6436233611442194,540,755,610,651,0.7759237187127532,839,5524,4283,65679
68,68000,0.029411764705882353,0.003431372549019608,0.015966104586582347,0.002702702702702703,0.0005067567567567568,0.0015785140338365586,0.009547738693467336,0.001256281407035176,0.0052657859845402525,0.6067839195979899,483,719,562,592,0.7437185929648241,796,6227,4824,65679
69,69000,0.03880070546737214,0.004232804232804233,0.02433165993878875,0.003110419906687403,0.0003110419906687403,0.0010221418083545932,0.011217948717948716,0.001201923076923077,0.006317212633657544,0.6442307692307693,536,755,607,643,0.7728365384615384,832,6988,5434,65679
70,70000,0.02144144144144144,0.004324324324324324,0.010270980000741333,0.006403179509825569,0.0007727975270479134,0.0022526314917613015,0.009747023809523811,0.0015625,0.004035557542435948,0.6622596153846154,551,739,628,647,0.7776442307692307,832,7730,6043,65679
71,71000,0.028594771241830064,0.0034313725490196082,0.011622264970954671,0.008581979940408746,0.0011456628477905073,0.0037191730129917475,0.013591316658801322,0.0017177914110429449,0.005697370263819277,0.5901840490797546,481,727,553,611,0.7496932515337423,815,8441,6603,65679
72,72000,0.012238325281803542,0.0019323671497584543,0.01001487929652188,0.005537974683544304,0.0006329113924050633,0.003285432480499837,0.007191100516487883,0.0009535160905840286,0.004945736998874763,0.5971394517282479,501,741,568,632,0.7532777115613826,839,9173,7180,65679
73,73000,0.014430014430014428,0.0017316017316017316,0.006642071918153524,0.009523809523809523,0.0011764705882352942,0.004742883155573789,0.010895883777239709,0.001331719128329298,0.00527401221629524,0.5811138014527845,480,695,538,595,0.7203389830508474,826,9875,7716,65679
74,74000,0.035398230088495575,0.005309734513274337,0.023334725111078886,0.009461805555555557,0.0012152777777777778,0.0046697124766139995,0.016770573566084787,0.002369077306733167,0.009929429253907097,0.5635910224438903,452,704,551,576,0.7182044887780549,802,10564,8236,65679
75,75000,0.021604938271604937,0.0027777777777777783,0.007895202850918989,0.0,0.0,0.0,0.0055821371610845286,0.0007177033492822966,0.0020399088705723703,0.6172248803827751,516,710,579,620,0.7416267942583732,836,11275,8795,65679
76,76000,0.02959501557632399,0.0032710280373831778,0.01826731892982202,0.012290167865707434,0.0014388489208633094,0.006829752247083633,0.0170995670995671,0.001948051948051948,0.010008504545922612,0.5883116883116883,453,714,560,556,0.7220779220779221,770,11919,9292,65679
77,77000,0.024444444444444446,0.0031111111111111114,0.013618199611554091,0.00387263339070568,0.0005163511187607574,0.0025284893777228184,0.009615384615384616,0.0012406947890818859,0.005624252160119887,0.6054590570719603,488,700,576,581,0.7208436724565757,806,12597,9817,65679
78,78000,0.004518872939925572,0.0014354066985645935,0.0028164495840626983,0.0038251366120218575,0.0004918032786885247,0.002388084999418947,0.0040021706688373355,0.0007326007326007326,0.0024973990387236406,0.6031746031746031,494,720,568,610,0.7448107448107448,819,13284,10363,65679
79,79000,0.0,0.0,0.0,0.005907990314769975,0.0010169491525423731,0.0028553415645688252,0.004434750999636496,0.0007633587786259543,0.002143322548467693,0.5966921119592875,469,739,555,590,0.7506361323155216,786,13936,10884,65679
80,80000,0.01935483870967742,0.002304147465437788,0.008308584207416723,0.009322033898305085,0.0010169491525423731,0.005262524389129456,0.01201982651796778,0.0013630731102850064,0.006081601192807694,0.5848822800495663,472,711,563,590,0.7311028500619579,807,14597,11402,65679
81,81000,0.018421052631578946,0.002631578947368421,0.010262261991527183,0.0009888529306005035,0.00032362459546925567,0.001232110717371533,0.005088008800880088,0.0008663366336633662,0.003355537378373481,0.6150990099009901,497,753,595,618,0.7648514851485149,808,808,618,65679
82,82000,0.004317789291882556,0.0010362694300518134,0.0039439800427377774,0.005911680911680911,0.0010256410256410259,0.003333381327403735,0.005516281062553556,0.0010282776349614397,0.003484853759356782,0.5809768637532133,452,736,554,585,0.7519280205655527,778,1563,1186,65679
83,83000,0.018282312925170068,0.004591836734693878,0.011247637256334814,0.005754614549402823,0.0008143322475570033,0.002522690993858365,0.008786008230452676,0.001728395061728395,0.004633912558605753,0.6135802469135803,497,733,587,614,0.7580246913580246,810,2335,1775,65679
