batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
21,21000,0.0359956236323851,0.0045951859956236,0.0202396008795643,0.0022123893805309,0.0004424778761061,0.001049547401634,0.0248169838945827,0.003221083455344,0.0138897442382579,0.1874084919472913,128,365,683,683,65679,230,226,0.3308931185944363,226
22,22000,0.0179806362378976,0.0024896265560165,0.0093479966914895,0.0,0.0,0.0,0.0123456790123456,0.0017094017094017,0.006418425078772,0.178062678062678,125,338,702,1332,65679,184,220,0.31339031339031337,425
23,23000,0.0095639943741209,0.0018987341772151,0.0068284278415698,0.0,0.0,0.0,0.0063581112669471,0.0012622720897615,0.0045395158441852,0.2019635343618513,144,347,713,1946,65679,222,239,0.33520336605890605,632
24,24000,0.0182539682539682,0.0023809523809523,0.0102476527418462,0.0008196721311475,0.0004098360655737,0.0004384964441281,0.012566844919786,0.0017379679144385,0.0070478744843018,0.1858288770053476,139,347,748,2554,65679,198,244,0.32620320855614976,833
25,25000,0.0125581395348837,0.001860465116279,0.0053077655331479,0.0,0.0,0.0,0.0078147612156295,0.0011577424023154,0.0033029510553597,0.2257597684515195,156,404,691,3085,65679,243,261,0.37771345875542695,1043
26,26000,0.0381754609027336,0.0051652892561983,0.0212933221450023,0.0095848595848595,0.0021367521367521,0.0039115368749678,0.0288576326180782,0.0041782729805013,0.0156285063327626,0.1908077994428969,137,345,718,3631,65679,220,234,0.32590529247910865,1226
27,27000,0.0177432216905901,0.0026315789473684,0.0114154066509323,0.0156771799628942,0.0024489795918367,0.006199670938822,0.0170211386331215,0.002567760342368,0.0095925032993388,0.1626248216833095,114,377,701,4123,65679,173,245,0.34950071326676174,1401
28,28000,0.0305498981670061,0.0040733197556008,0.0166708799727284,0.0050632911392405,0.00084388185654,0.0046330771554065,0.0222527472527472,0.003021978021978,0.0127519798797266,0.1771978021978022,129,353,728,4640,65679,196,237,0.32554945054945056,1575
29,29000,0.0149206349206349,0.0025263157894736,0.0095324859891236,0.0,0.0,0.0,0.0101537272024378,0.0017191977077363,0.0064870069410225,0.1733524355300859,121,357,698,5104,65679,182,223,0.3194842406876791,1730
30,30000,0.0169318181818181,0.0022727272727272,0.0081498431200181,0.0031284989791213,0.0012448132780082,0.0018696786452639,0.0120469431042118,0.0019089574155653,0.0059273473220508,0.1703377386196769,116,404,681,5542,65679,197,241,0.35389133627019087,1896
31,31000,0.0178571428571428,0.003393665158371,0.0109150629753263,0.000709219858156,0.0004255319148936,0.0003876272477593,0.0119047619047619,0.0023633677991137,0.0072607832176036,0.1772525849335302,120,385,677,5973,65679,191,235,0.34711964549483015,2051
32,32000,0.0262745098039215,0.0037647058823529,0.0120890461245909,0.0036892361111111,0.001171875,0.0038915378814956,0.0177843041279164,0.0027900146842878,0.0090074571227812,0.1953010279001468,133,406,681,6410,65679,209,256,0.37591776798825255,2218
33,33000,0.0112326768781911,0.0021881838074398,0.0072798260521092,0.0087658592848904,0.0017301038062283,0.0049981627726147,0.0102770330652368,0.0020107238605898,0.006395910921045,0.210455764075067,157,400,746,6887,65679,223,289,0.3873994638069705,2411
