batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,content_seed_emissions_mg
42,42000,0.029291702625174713,0.02018348623853211,0.02990680942965449,0.1651376146788991,0.06412916848696665,0.011574074074074073,0.002777777777777778,0.009551196706123899,0.027777777777777776,0.016203703703703706,0.022243806184957884,0.013259668508287295,0.02180954911974177,0.11049723756906077,0.04506489520301675,72,0.39779005524861877,59868,34.01876668968807
43,43000,0.03712273159639641,0.022330097087378643,0.030419778651271934,0.20388349514563106,0.06338804130066265,0.01818181818181818,0.005454545454545455,0.011749640235442643,0.05454545454545454,0.015909090909090907,0.03052937566094196,0.016455696202531647,0.023920679835635155,0.1518987341772152,0.04686055856941933,55,0.34810126582278483,59868,31.724409626268056
44,44000,0.02307096171802054,0.015000000000000001,0.025907884915325873,0.125,0.061412037037037036,0.02333333333333333,0.006000000000000001,0.02025115550529767,0.06,0.032857142857142856,0.023148129840171363,0.012352941176470589,0.02424414097119993,0.10588235294117647,0.053013538748832856,50,0.29411764705882354,59868,30.848313810216887
45,45000,0.03457516379019243,0.02616822429906542,0.03437200019581583,0.22429906542056074,0.07529669188547694,0.022727272727272728,0.004545454545454546,0.00935986000989625,0.045454545454545456,0.006628787878787878,0.031122798182454243,0.019867549668874173,0.02708369444627635,0.17218543046357615,0.05528750131399138,44,0.2913907284768212,59868,29.653351875432712
46,46000,0.0293789469192695,0.016935483870967744,0.028994054535918103,0.16129032258064516,0.06585061443932412,0.005291005291005291,0.0015873015873015873,0.004699712872474051,0.015873015873015872,0.007936507936507936,0.02126375802846391,0.011764705882352943,0.020809329804383478,0.11229946524064172,0.04633944486885664,63,0.33689839572192515,59868,32.631695880993895
47,47000,0.03015352125584454,0.02100840336134454,0.026696514684701397,0.16806722689075632,0.049813258636788045,0.006802721088435374,0.0020408163265306124,0.0031923722858690916,0.02040816326530612,0.0029154518950437317,0.023342871207016863,0.015476190476190477,0.01984113981837531,0.125,0.03613473167044595,49,0.2916666666666667,59868,30.66907267055474
48,48000,0.024773033254857916,0.01721311475409836,0.02819083548307887,0.13114754098360656,0.065807962529274,0.052083333333333336,0.012499999999999999,0.032064198417900903,0.125,0.037698412698412696,0.03248417680642744,0.015882352941176472,0.029284490899969796,0.12941176470588237,0.05787114845938376,48,0.2823529411764706,59868,30.505579172782088
49,49000,0.025175936373993582,0.013761467889908258,0.02353981263291583,0.12844036697247707,0.05310543177515654,0.0065359477124183,0.00196078431372549,0.0027699406443103722,0.0196078431372549,0.0021786492374727667,0.019234439988116456,0.01,0.01691941593654784,0.09375,0.03687251984126984,51,0.31875,59868,31.020698554545337
50,50000,0.048200609251231416,0.03076923076923077,0.053840083053756836,0.2403846153846154,0.12156593406593406,0.004975124378109453,0.0014925373134328358,0.0035020800449459435,0.014925373134328358,0.004975124378109453,0.031264308160592995,0.01929824561403509,0.0341170058514742,0.15204678362573099,0.07588415483152325,67,0.391812865497076,59868,32.73152415943901
51,51000,0.06891443478751592,0.0375,0.06584492794591855,0.3020833333333333,0.1332093253968254,0.042553191489361694,0.010638297872340425,0.031072305202285995,0.10638297872340426,0.04441067207024653,0.06025024992728342,0.02867132867132867,0.05441616382738197,0.23776223776223776,0.10402375402375402,47,0.32867132867132864,59868,34.24853820657875
52,52000,0.04168602178749475,0.028703703703703703,0.037517369384349394,0.23148148148148148,0.07440476190476189,0.0,0.0,0.0,0.0,0.0,0.029425427144113937,0.020261437908496733,0.026482848977187806,0.16339869281045752,0.05252100840336134,45,0.29411764705882354,59868,30.02465490786359
53,53000,0.028037154961040582,0.01788617886178862,0.027929377139994518,0.17073170731707318,0.06374048264292166,0.018518518518518517,0.0041666666666666675,0.009820562186757744,0.041666666666666664,0.009876543209876543,0.024522581505340122,0.01282051282051282,0.02124304546495325,0.12307692307692308,0.04385225885225886,72,0.36923076923076925,59868,33.42772626247066
54,54000,0.019984527998893914,0.0163265306122449,0.02092257527626515,0.1326530612244898,0.042375283446712014,0.023809523809523808,0.006122448979591837,0.015288341036640972,0.061224489795918366,0.02040816326530612,0.02125952660243721,0.01292517006802721,0.019044497196390425,0.10884353741496598,0.03505291005291005,49,0.3333333333333333,59868,30.394522939552555
55,55000,0.029862098914078008,0.02033898305084746,0.028352234223471492,0.19491525423728814,0.06598062953995157,0.023391812865497075,0.005263157894736843,0.01195687355328689,0.03508771929824561,0.00935672514619883,0.02775463431539736,0.01542857142857143,0.023012031033754224,0.14285714285714285,0.047537414965986395,57,0.32571428571428573,59868,31.65445560272832
