batch,interactions,recall_existing,recall_new_content,recall_overall_content,n_new_users,pct_new_users,n_users_trained
158,158000,0.0356604408150903,0.005847953216374269,0.024767416500174833,57,0.36538461538461536,59868
159,159000,0.02969688835721325,0.040123456790123455,0.03328309660802313,54,0.34394904458598724,59868
160,160000,0.02573065886170355,0.03968253968253968,0.030724798019161937,63,0.35795454545454547,59868
161,161000,0.026212257420142215,0.019125683060109287,0.023837086892878428,61,0.33516483516483514,59868
162,162000,0.024822389864105256,0.03525641025641025,0.028538616305200194,52,0.3561643835616438,59868
163,163000,0.032236869377772245,0.020833333333333332,0.028455385922621524,64,0.3316062176165803,59868
164,164000,0.023798067046557125,0.019125683060109287,0.02224060571774118,60,0.32786885245901637,59868
165,165000,0.032526256116481675,0.007936507936507936,0.024894954957179485,63,0.3103448275862069,59868
166,166000,0.022116300547673093,0.03225806451612903,0.025815061524404083,62,0.36470588235294116,59868
167,167000,0.03793219724342173,0.0,0.027311182015263644,49,0.28,59868
168,168000,0.036578154960507904,0.023474178403755867,0.03154906125494361,71,0.3837837837837838,59868
169,169000,0.033013303184642746,0.010416666666666666,0.02502333226115949,64,0.35359116022099446,59868
170,170000,0.03915935170350419,0.02864583333333333,0.03548249281994717,64,0.34972677595628415,59868
171,171000,0.03321030821030821,0.014492753623188404,0.028023515975323203,46,0.27710843373493976,59868
172,172000,0.03983450759766549,0.008064516129032258,0.028642806057578782,62,0.3522727272727273,59868
173,173000,0.02912052615999984,0.0625,0.04112213473168529,64,0.3595505617977528,59868
174,174000,0.022611780379668236,0.011904761904761904,0.018504978772854848,56,0.3835616438356164,59868
175,175000,0.035161584389794276,0.014492753623188404,0.028118871684135977,46,0.34074074074074073,59868
176,176000,0.03729990796679257,0.0303030303030303,0.035233715905010426,44,0.2953020134228188,59868
177,177000,0.02885925751879699,0.015503875968992248,0.024727736607706313,43,0.30935251798561153,59868
178,178000,0.021441883431262517,0.004901960784313725,0.015051458772214121,68,0.38636363636363635,59868
179,179000,0.02813911699532614,0.00847457627118644,0.02215866388850015,59,0.30412371134020616,59868
180,180000,0.022634772394012376,0.021929824561403508,0.022457368303686963,38,0.25165562913907286,59868
181,181000,0.02579954767454767,0.018229166666666664,0.023166371671806452,64,0.34782608695652173,59868
182,182000,0.03508120060952042,0.01729559748427673,0.029844328578198666,53,0.29444444444444445,59868
183,183000,0.016238353803059685,0.029850746268656712,0.020988511590533648,66,0.34375,59868
184,184000,0.014255666354144256,0.017006802721088433,0.015131027925444676,49,0.3181818181818182,59868
185,185000,0.03843073348057566,0.013888888888888888,0.028036540477037727,71,0.4176470588235294,59868
186,186000,0.023210143433214883,0.015723270440251572,0.02056478164236785,53,0.35333333333333333,59868
187,187000,0.03675047472562092,0.007352941176470588,0.025392336763449205,68,0.38636363636363635,59868
188,188000,0.02651222796811032,0.01515151515151515,0.023040899051928465,44,0.3055555555555556,59868
189,189000,0.02037177472615062,0.0326797385620915,0.0239792813677195,51,0.29310344827586204,59868
190,190000,0.030961994434328035,0.01141552511415525,0.023412299935002035,73,0.3862433862433862,59868
191,191000,0.04328034101917228,0.029166666666666664,0.03949143515272783,40,0.2684563758389262,59868
192,192000,0.02166755777004224,0.0130718954248366,0.018978117404364406,51,0.3128834355828221,59868
193,193000,0.031711938360741945,0.022058823529411766,0.02789559063672769,68,0.3953488372093023,59868
194,194000,0.023622942904606422,0.004901960784313725,0.01666651238996214,68,0.37158469945355194,59868
195,195000,0.02725673662495826,0.02287581699346405,0.025957743013294277,50,0.29069767441860467,59868
196,196000,0.031862390483080136,0.021604938271604937,0.028484936706130982,54,0.32926829268292684,59868
197,197000,0.020930563944099836,0.01,0.017161403963375753,50,0.3448275862068966,59868
198,198000,0.028175951417346478,0.006172839506172839,0.02114537128004839,54,0.31952662721893493,59868
199,199000,0.03264791035045876,0.015873015873015872,0.02660894833857932,63,0.36,59868
200,200000,0.03101450370357933,0.024509803921568624,0.028649158328302712,68,0.36363636363636365,59868
201,201000,0.03550063744238501,0.01639344262295082,0.02839369302783937,61,0.3719512195121951,59868
202,202000,0.02224797414978751,0.024509803921568624,0.023070457703162458,67,0.3582887700534759,59868
203,203000,0.02792574969719219,0.016666666666666666,0.024882754283536646,39,0.2635135135135135,59868
204,204000,0.032677263212977495,0.0273224043715847,0.030514042091620144,61,0.40397350993377484,59868
205,205000,0.025131948792789943,0.04022988505747126,0.030407131343100285,58,0.3493975903614458,59868
206,206000,0.04727018584659371,0.021164021164021163,0.0381835097416099,63,0.34806629834254144,59868
207,207000,0.02977616368200585,0.01366120218579235,0.024547372983766365,61,0.324468085106383,59868
208,208000,0.027616000383472342,0.018518518518518517,0.0245179389916232,63,0.34054054054054056,59868
209,209000,0.026570108635326026,0.007575757575757575,0.02042487741017153,44,0.3235294117647059,59868
