batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,batch_emissions_mg,update_emissions_mg,updated
9,9000,incremental,0.07721377953601685,0.08611111111111111,0.11071669234068533,0.5555555555555556,0.16332937120414473,0.08749999999999998,0.1454870975454103,0.75,0.2487845601203444,57.0636648707509,0.0,False
10,10000,incremental,0.08734967377276638,0.12500000000000003,0.14597740273653376,0.6071428571428571,0.11082787124005086,0.09821428571428571,0.14190827680803259,0.6785714285714286,0.29342185592185593,56.58734865302516,0.0,False
11,11000,incremental,0.057335490684827864,0.11875000000000001,0.12439922038408735,0.5625,0.10528497727372985,0.0953125,0.12659476921252397,0.6875,0.25769898504273503,56.378684946466024,0.0,False
12,12000,incremental,0.06878409569961445,0.09473684210526315,0.09502687940412374,0.6052631578947368,0.11663660737468151,0.09210526315789473,0.11630174409556468,0.6842105263157895,0.20027151211361738,57.093626188223915,0.0,False
13,13000,incremental,0.035850757810661424,0.07027027027027029,0.06835493275897121,0.40540540540540543,0.06689845776636855,0.07027027027027029,0.07755659172192222,0.5675675675675675,0.1440913926208044,57.10076629838004,0.0,False
14,14000,incremental,0.08143117540202958,0.10666666666666666,0.12350534542479875,0.5555555555555556,0.14045549148176056,0.09888888888888887,0.13967746103960224,0.7111111111111111,0.2457075422761697,57.90386303611663,0.0,False
15,15000,incremental,0.06050463347211196,0.08666666666666668,0.10363384673470373,0.5,0.10971139652354649,0.09166666666666666,0.12168934216952804,0.7,0.262711345671872,57.17576191724286,0.0,False
16,16000,incremental,0.047933875906564984,0.09142857142857143,0.10316444569749887,0.5142857142857142,0.11074711157030928,0.09714285714285716,0.12294036261304161,0.6857142857142857,0.24473459080601936,57.17202126075105,0.0,False
17,17000,incremental,0.05888876849356321,0.1125,0.1198964282371073,0.625,0.1168106569331886,0.1171875,0.13880824854858503,0.75,0.28140094688807926,58.25444072375869,0.0,False
18,18000,incremental,0.06726466010401684,0.07547169811320754,0.09466527451777532,0.4716981132075472,0.11252338103584492,0.06981132075471698,0.10779481807825436,0.5849056603773585,0.20710869319359884,14.469881466310778,0.0,False
19,19000,incremental,0.06057209545970867,0.07906976744186048,0.09080663861052343,0.4418604651162791,0.11024234548728348,0.08023255813953487,0.1118694136258799,0.6046511627906976,0.19877040983672134,57.07861449022922,0.0,False
20,20000,incremental,0.05317171926573412,0.12400000000000003,0.12496058278363624,0.56,0.09246649835906919,0.11,0.13170464329244563,0.72,0.2103203463203463,56.52309058361933,258.8876697519108,True
21,21000,incremental,0.045436223517381066,0.061111111111111116,0.07475346992889681,0.3333333333333333,0.07443888752004507,0.05555555555555555,0.08092941497461419,0.4444444444444444,0.16663886389763582,13.380161056121466,0.0,False
22,22000,incremental,0.07979459223584418,0.09411764705882354,0.10791494015422884,0.5588235294117647,0.12409246686962859,0.08529411764705883,0.12393978646941006,0.6764705882352942,0.1995605293399411,63.89182535191155,0.0,False
23,23000,incremental,0.021024124421082417,0.07272727272727274,0.07770227506393322,0.45454545454545453,0.08417487221878822,0.0931818181818182,0.1032501869623812,0.7727272727272727,0.21317527169799896,59.65934132576094,0.0,False
24,24000,incremental,0.06458171524290456,0.11851851851851852,0.14850229625634004,0.5185185185185185,0.0857609467198629,0.08703703703703705,0.13878098479516845,0.6296296296296297,0.2924015285126397,13.342849632774247,0.0,False
25,25000,incremental,0.06119324354877379,0.11250000000000002,0.11440711629076104,0.375,0.08055311779572914,0.084375,0.11205455966108,0.46875,0.17226991758241758,60.02496190932985,0.0,False
26,26000,incremental,0.05790762830609042,0.10370370370370371,0.11655833142461747,0.5185185185185185,0.10902195373724591,0.09814814814814816,0.13560114441152255,0.6666666666666666,0.22659973771084882,60.35413705034448,0.0,False
27,27000,incremental,0.06988898945242904,0.10238095238095238,0.11325807996957003,0.42857142857142855,0.10430419107433328,0.0892857142857143,0.12257495167499478,0.5476190476190477,0.20690460333317479,13.4741412223065,0.0,False
28,28000,incremental,0.08405849618705004,0.08717948717948719,0.11014869546817109,0.41025641025641024,0.13524570800134747,0.08846153846153847,0.1337735828455471,0.6666666666666666,0.23672992208060079,61.45817287093081,0.0,False
29,29000,incremental,0.0652933877826964,0.07857142857142858,0.10691767859355032,0.47619047619047616,0.12512389248922598,0.08809523809523809,0.12783782225138896,0.7619047619047619,0.26084103170569334,59.76922682081657,0.0,False
30,30000,incremental,0.03978277362243563,0.084,0.07744242245124021,0.48,0.07863437119274223,0.092,0.09388557711251799,0.64,0.15504761904761905,13.338922241223168,0.0,False
31,31000,incremental,0.09074944380290585,0.17741935483870966,0.19365667392797759,0.6451612903225806,0.14567609295376627,0.132258064516129,0.18730742877120773,0.7741935483870968,0.3281856998600232,58.929843900966134,0.0,False
32,32000,incremental,0.04521005682613198,0.09285714285714287,0.10513826288202867,0.42857142857142855,0.0815929106422401,0.08392857142857144,0.1096847255659708,0.6785714285714286,0.21533255846198127,59.088692249557916,0.0,False
33,33000,incremental,0.0633198443129557,0.10857142857142857,0.12383540273071839,0.6,0.11376114774818333,0.09857142857142857,0.13505273671356713,0.6857142857142857,0.2542839699982557,59.41809786839773,0.0,False
34,34000,incremental,0.06122342895217037,0.1111111111111111,0.11246915221749121,0.5555555555555556,0.11934643255365485,0.11249999999999999,0.1358626857302218,0.6944444444444444,0.21518635231870528,58.48941425229404,0.0,False
35,35000,incremental,0.06633113658872303,0.19130434782608696,0.1938703764817576,0.7391304347826086,0.0924844455009084,0.14130434782608695,0.16294211263034591,0.8260869565217391,0.34575569358178054,13.309488503964687,0.0,False
