batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_users_trained
324,324000,0.027852441086613472,0.020175438596491232,0.02495082283991916,0.007575757575757575,0.002272727272727273,0.010665425591426282,0.02220576972915993,0.015189873417721522,0.020972610947933804,0.27848101265822783,44,59868
325,325000,0.017114791426718033,0.014678899082568808,0.02251349732887287,0.01016260162601626,0.0024390243902439024,0.005258885091936502,0.014130081669348683,0.00942408376963351,0.015105758043905425,0.4293193717277487,82,59868
326,326000,0.03876352813852814,0.015833333333333335,0.031383857914202944,0.013440860215053762,0.0032258064516129032,0.01745848256110024,0.030137124779981917,0.011538461538461539,0.026640048727981144,0.33516483516483514,61,59868
327,327000,0.028196729424799602,0.016216216216216217,0.023398572357566014,0.02536231884057971,0.006521739130434784,0.020130427756100636,0.02736626517719377,0.013375796178343953,0.022441026805544308,0.2929936305732484,46,59868
328,328000,0.03485310114842683,0.0256,0.03489329361776538,0.0,0.0,0.0,0.024338757785214268,0.01787709497206704,0.024366825152070795,0.3016759776536313,54,59868
329,329000,0.025704721634954193,0.017054263565891473,0.025936216752574827,0.0,0.0,0.0,0.017923832923832924,0.011891891891891894,0.018085253843687314,0.3027027027027027,56,59868
330,330000,0.03571976856645745,0.020388349514563107,0.030812576649246335,0.0,0.0,0.0,0.02299460101465698,0.013125000000000001,0.01983559621795233,0.35625,57,59868
331,331000,0.03828809635863376,0.024468085106382983,0.041432822879614896,0.027272727272727268,0.007272727272727273,0.01920282934531871,0.03422202052155419,0.018120805369127517,0.03322712056829751,0.3691275167785235,55,59868
332,332000,0.02591510005740451,0.016800000000000006,0.025670065112513952,0.028368794326241134,0.006382978723404256,0.018269997510962043,0.026585586282028475,0.013953488372093023,0.02364795361674105,0.27325581395348836,47,59868
333,333000,0.026385569943444705,0.018548387096774192,0.025276091126056888,0.0,0.0,0.0,0.01797698171970958,0.012637362637362636,0.017221073074895905,0.31868131868131866,58,59868
334,334000,0.028029393575612065,0.018749999999999996,0.028029916857230545,0.00847457627118644,0.0016949152542372883,0.010392325301109465,0.02128240982730147,0.012865497076023392,0.021944432051317422,0.34502923976608185,59,59868
335,335000,0.036382968651461414,0.020833333333333332,0.03371000104006886,0.016666666666666666,0.005,0.007570310709966252,0.029341432228320436,0.01517857142857143,0.024374397350746504,0.35714285714285715,40,59868
336,336000,0.028131272521516423,0.01788617886178862,0.026825592270878818,0.0,0.0,0.0,0.019223036223036224,0.012222222222222223,0.018330821385100525,0.31666666666666665,57,59868
337,337000,0.02618284493284493,0.016923076923076926,0.020048927951761705,0.0,0.0,0.0,0.019230338086270293,0.012429378531073447,0.014725201320502946,0.2655367231638418,47,59868
338,338000,0.029215363493537427,0.018867924528301886,0.026480034173043693,0.0,0.0,0.0,0.01947690899569162,0.012578616352201259,0.017653356115362465,0.3333333333333333,53,59868
339,339000,0.035491960186796026,0.022000000000000002,0.030229733919032147,0.0,0.0,0.0,0.02334997380710265,0.014473684210526317,0.019887982841468515,0.34210526315789475,52,59868
340,340000,0.03000747544932495,0.01754385964912281,0.02825493841115482,0.0,0.0,0.0,0.02111637161248793,0.012345679012345682,0.01988310480784969,0.2962962962962963,48,59868
341,341000,0.017748917748917747,0.010743801652892562,0.01805607774367342,0.014814814814814814,0.0044444444444444444,0.008928884843946232,0.01695352839931153,0.009036144578313253,0.015581838704590753,0.2710843373493976,45,59868
342,342000,0.014422148428854559,0.01326530612244898,0.016253121126234952,0.01020408163265306,0.0020408163265306124,0.003947477624842262,0.013016126163454059,0.009523809523809523,0.012151239959104054,0.3333333333333333,49,59868
343,343000,0.026477913607013036,0.018584070796460177,0.027028410440546484,0.01111111111111111,0.0033333333333333335,0.01173196815056891,0.021148386729821615,0.01329479768786127,0.021723285946912644,0.3468208092485549,60,59868
344,344000,0.030714285714285715,0.020202020202020204,0.026037990596166502,0.0,0.0,0.0,0.02141348088531187,0.014084507042253521,0.018153246964932986,0.3028169014084507,43,59868
345,345000,0.03132886753699298,0.021311475409836068,0.03338528426666054,0.009259259259259259,0.001851851851851852,0.0035819704373568667,0.024557510451779226,0.015340909090909093,0.024241085705396914,0.3068181818181818,54,59868
346,346000,0.03442285579004328,0.015625000000000003,0.03241154652629963,0.00546448087431694,0.001639344262295082,0.0025643646230751717,0.025076501981263884,0.011111111111111112,0.022778329086634592,0.31746031746031744,60,59868
347,347000,0.027975904838074928,0.02272727272727273,0.029539061817617358,0.008333333333333333,0.0025,0.007402047774146631,0.022737885770143837,0.017333333333333336,0.02363585807269183,0.26666666666666666,40,59868
348,348000,0.021500602441196497,0.01485148514851485,0.01803886974438068,0.0,0.0,0.0,0.014286584516847676,0.009868421052631578,0.011986354238042425,0.3355263157894737,51,59868
349,349000,0.04008894330221643,0.025233644859813085,0.03529558627465955,0.014814814814814814,0.0044444444444444444,0.01564262420075855,0.032606471052656745,0.019078947368421053,0.02947727513435991,0.29605263157894735,45,59868
350,350000,0.04057363623415468,0.027118644067796616,0.03645706272307712,0.0,0.0,0.0,0.025466431253352403,0.01702127659574468,0.02288262447512288,0.3723404255319149,70,59868
351,351000,0.03878612509698652,0.020952380952380955,0.02821658821256919,0.005128205128205128,0.0015384615384615385,0.0025716993071723425,0.025916920403040694,0.013529411764705884,0.018411189513446863,0.3764705882352941,64,59868
352,352000,0.03581185969515243,0.02391304347826087,0.03517157185076708,0.007246376811594202,0.002173913043478261,0.010201711435277315,0.026290032067299685,0.01666666666666667,0.02684828504560383,0.3333333333333333,46,59868
353,353000,0.034086387027085906,0.023966942148760332,0.03721296775974929,0.008620689655172414,0.001724137931034483,0.003055849772138754,0.025834932012722873,0.01675977653631285,0.026145298244210684,0.3240223463687151,58,59868
354,354000,0.024109178316720686,0.02065217391304348,0.028766752871362992,0.007936507936507936,0.002380952380952381,0.004812079678584466,0.019040132376654,0.014925373134328358,0.021258571721387638,0.31343283582089554,42,59868
355,355000,0.044672661353098456,0.025892857142857145,0.04228636822996009,0.012121212121212121,0.0036363636363636364,0.007110283727617522,0.03395212418092032,0.018562874251497007,0.03070143022020655,0.32934131736526945,55,59868
356,356000,0.03869951029023278,0.021904761904761906,0.03556067228887111,0.018518518518518517,0.005555555555555557,0.014564305407269574,0.03184558855644303,0.016352201257861635,0.0284298307064404,0.33962264150943394,54,59868
357,357000,0.031782291782291784,0.018681318681318684,0.026861293940825346,0.012121212121212121,0.0036363636363636364,0.008684067336422144,0.024375720677090543,0.013013698630136985,0.020013708576152908,0.3767123287671233,55,59868
358,358000,0.04717648711321533,0.030476190476190476,0.04409246588352491,0.0,0.0,0.0,0.03095956966804756,0.02,0.028935680736063223,0.34375,55,59868
359,359000,0.029599018237538164,0.016216216216216217,0.027213054166871132,0.011299435028248588,0.0033898305084745766,0.006810166406399669,0.023247986417843546,0.011764705882352941,0.02013205194411927,0.34705882352941175,59,59868
360,360000,0.028888832958600397,0.01782945736434109,0.02434269246744196,0.010416666666666666,0.0020833333333333333,0.004029716742026475,0.023879431930279384,0.013559322033898306,0.01883408888088861,0.2711864406779661,48,59868
361,361000,0.03169713966588967,0.020000000000000004,0.0337027250702876,0.0,0.0,0.0,0.024227113120425216,0.015286624203821658,0.02576004463971026,0.2356687898089172,37,59868
362,362000,0.02550101970833678,0.015315315315315317,0.0243541320707036,0.0,0.0,0.0,0.016848888021579658,0.01011904761904762,0.016091122975286306,0.3392857142857143,57,59868
363,363000,0.03528512531217061,0.027586206896551727,0.03816105872611928,0.0,0.0,0.0,0.022739302978954396,0.017777777777777778,0.024592682290165757,0.35555555555555557,48,59868
364,364000,0.03141223837363599,0.024778761061946902,0.03189991105383984,0.0130718954248366,0.00392156862745098,0.009768416813066918,0.02570883904199716,0.018292682926829267,0.025017556137501923,0.31097560975609756,51,59868
365,365000,0.03605395519869204,0.02612612612612613,0.036946911687342716,0.0070921985815602835,0.002127659574468085,0.006299615126933303,0.0274387491163807,0.0189873417721519,0.027830310811777892,0.2974683544303797,47,59868
366,366000,0.03434965332286761,0.023214285714285715,0.03286939605075951,0.0,0.0,0.0,0.02360221578012989,0.015950920245398775,0.02258510648886543,0.3128834355828221,51,59868
367,367000,0.028956791587226114,0.019827586206896553,0.027243945801825334,0.0,0.0,0.0,0.019304527724817406,0.013218390804597701,0.018162630534550223,0.3333333333333333,58,59868
368,368000,0.037502669964306797,0.021739130434782608,0.03472049220061226,0.008547008547008546,0.002564102564102564,0.0061233808141438195,0.025800381930372786,0.013989637305699482,0.023163110396754553,0.40414507772020725,78,59868
369,369000,0.03861190515402472,0.01953125,0.031398450615004604,0.016203703703703703,0.0041666666666666675,0.012440015812293283,0.03054495263190915,0.013999999999999999,0.02457341408602853,0.36,72,59868
370,370000,0.03293472332106429,0.021186440677966104,0.027859468430294288,0.005555555555555555,0.0016666666666666668,0.003910656050189637,0.02370579036639843,0.014606741573033709,0.01978683504374216,0.33707865168539325,60,59868
371,371000,0.026558254269863888,0.018085106382978725,0.028189353036153816,0.006493506493506494,0.0012987012987012987,0.003981475277697781,0.01752325088518834,0.010526315789473684,0.017288729718018644,0.4502923976608187,77,59868
372,372000,0.05020162622203438,0.025510204081632657,0.04027972308011307,0.005847953216374269,0.0017543859649122807,0.0031849437287254853,0.03389092066511421,0.016774193548387096,0.026638417125086668,0.36774193548387096,57,59868
373,373000,0.04226488347533495,0.02577319587628866,0.04289957860495567,0.009009009009009009,0.002702702702702703,0.003818026293508891,0.033082291271946444,0.019402985074626865,0.03210840371298902,0.27611940298507465,37,59868
374,374000,0.02421304775471442,0.01916666666666667,0.030343246940033076,0.01,0.002,0.004368148736363283,0.020032739591563122,0.014117647058823532,0.022703512174247844,0.29411764705882354,50,59868
375,375000,0.048049607680167215,0.027777777777777783,0.03889664734258848,0.00819672131147541,0.001639344262295082,0.006341849298926912,0.03366483804413053,0.018343195266272188,0.027146098936296437,0.3609467455621302,61,59868
376,376000,0.023148388967354487,0.014655172413793105,0.023095366186677322,0.004273504273504273,0.001282051282051282,0.0037959219354598106,0.015559517801785843,0.009278350515463918,0.015335795817631104,0.4020618556701031,78,59868
377,377000,0.028823922793285755,0.02136752136752137,0.02734418729229941,0.006802721088435374,0.0020408163265306124,0.004124639724500971,0.022323688555107028,0.01566265060240964,0.02049022445602155,0.29518072289156627,49,59868
378,378000,0.03191419290021026,0.020491803278688523,0.027612341389104855,0.0,0.0,0.0,0.02082102424505696,0.013368983957219251,0.018014468713747553,0.34759358288770054,65,59868
379,379000,0.034866057084102196,0.02095238095238096,0.03957987117564468,0.0,0.0,0.0,0.022738732880936214,0.013664596273291927,0.02581295946237697,0.34782608695652173,56,59868
380,380000,0.036411243583374726,0.023770491803278688,0.035279865916045365,0.004901960784313725,0.0014705882352941176,0.004354145749498018,0.025134237107921318,0.015789473684210527,0.024211713435386313,0.35789473684210527,68,59868
381,381000,0.02324219902155125,0.012307692307692308,0.017931689544103464,0.023391812865497075,0.005263157894736843,0.01798290951861201,0.023287803241363612,0.010160427807486631,0.017947302049702324,0.3048128342245989,57,59868
382,382000,0.034797996552306254,0.02336448598130841,0.028056716404476306,0.0,0.0,0.0,0.0243358537980181,0.016339869281045753,0.019621363759993234,0.3006535947712418,46,59868
383,383000,0.024280717369748357,0.014018691588785047,0.020781020480029288,0.006944444444444444,0.0020833333333333333,0.004888320062737046,0.018912065109009082,0.01032258064516129,0.015859410028222654,0.3096774193548387,48,59868
384,384000,0.021659761253902236,0.014159292035398232,0.01874935705011461,0.0,0.0,0.0,0.0146560061179099,0.009580838323353293,0.012686690698580548,0.32335329341317365,54,59868
385,385000,0.029093513698776854,0.019166666666666665,0.025852693359486655,0.0,0.0,0.0,0.01877000883792055,0.012365591397849462,0.016679157006120424,0.3548387096774194,66,59868
386,386000,0.028787264901418093,0.01929824561403509,0.030263662123747422,0.004830917874396135,0.0014492753623188406,0.003400570478425771,0.019754543891229485,0.012568306010928964,0.020134955437806475,0.3770491803278688,69,59868
387,387000,0.02836836007037332,0.017924528301886795,0.021361061036299096,0.0,0.0,0.0,0.01952627381467254,0.01233766233766234,0.01470306798602405,0.3116883116883117,48,59868
388,388000,0.014815689701311268,0.016129032258064516,0.023329300373480927,0.00980392156862745,0.00196078431372549,0.0040074979919311,0.013040688487652417,0.011111111111111112,0.016486162030015364,0.3541666666666667,51,59868
389,389000,0.04258246758246758,0.02882882882882883,0.04227828677869047,0.011904761904761904,0.002857142857142857,0.0055081127397766634,0.030718161519266488,0.01878453038674033,0.02805777748187298,0.3867403314917127,70,59868
390,390000,0.03446651822676412,0.022131147540983612,0.028339392086152798,0.0065359477124183,0.00196078431372549,0.0058055276659973575,0.026232650618488767,0.0161849710982659,0.0216964609565116,0.2947976878612717,51,59868
391,391000,0.0392507970424637,0.023333333333333334,0.03482978562820161,0.006666666666666666,0.002,0.005921638219317305,0.029667229284876345,0.017058823529411765,0.026327389331470934,0.29411764705882354,50,59868
392,392000,0.045513369451075966,0.024576271186440683,0.03996535049716193,0.0,0.0,0.0,0.02983654219570536,0.01611111111111111,0.026199507548139486,0.34444444444444444,62,59868
393,393000,0.04005945241024817,0.02788461538461539,0.038145344415403376,0.0,0.0,0.0,0.028732296901143515,0.02,0.02735941944277208,0.2827586206896552,41,59868
394,394000,0.02011372041420118,0.015625,0.01960367445756001,0.01,0.002,0.012262943855309167,0.016650117532625436,0.010958904109589041,0.017089725621172735,0.3424657534246575,50,59868
395,395000,0.032366363311485256,0.019512195121951223,0.027510984657770163,0.0043859649122807015,0.0013157894736842105,0.0017848943872690497,0.021680382013296584,0.01256281407035176,0.017685945157478282,0.38190954773869346,76,59868
396,396000,0.03370151663031922,0.021359223300970877,0.039814867276217636,0.031249999999999997,0.008333333333333333,0.019096780502147546,0.03292222657564821,0.01721854304635762,0.03322898538777151,0.31788079470198677,48,59868
397,397000,0.06726851538377454,0.03820224719101124,0.06266582697804259,0.0,0.0,0.0,0.04276355620825667,0.024285714285714285,0.03983756143604137,0.36428571428571427,51,59868
398,398000,0.030684126312670732,0.019999999999999997,0.02618298599981329,0.011737089201877934,0.0028169014084507044,0.005279347589095066,0.02345165515747563,0.013440860215053764,0.01820364015486171,0.3817204301075269,71,59868
399,399000,0.026370446243300854,0.019417475728155338,0.025000537170636827,0.011299435028248588,0.0033898305084745766,0.01590775342450022,0.02088162117115219,0.013580246913580249,0.021688967781611765,0.36419753086419754,59,59868
400,400000,0.03783983028169074,0.019658119658119658,0.03143665678771837,0.006289308176100628,0.0018867924528301887,0.004427157792667513,0.028003491037006768,0.014117647058823528,0.02301604827749663,0.31176470588235294,53,59868
401,401000,0.032828867039393354,0.022727272727272728,0.03818247742044868,0.012578616352201257,0.0037735849056603774,0.007852474632994924,0.026244429699386108,0.016564417177914112,0.028320574673607896,0.32515337423312884,53,59868
402,402000,0.019062728060572888,0.015517241379310346,0.01879667109146122,0.0,0.0,0.0,0.012353499748751145,0.010055865921787711,0.012181082941952524,0.35195530726256985,63,59868
403,403000,0.03929145067204769,0.01791044776119403,0.03488434685175892,0.0,0.0,0.0,0.02845975345975346,0.012972972972972974,0.02526758096289565,0.2756756756756757,51,59868
404,404000,0.033246425291879836,0.015702479338842976,0.029086661661403154,0.005291005291005291,0.0015873015873015873,0.0021532059274991713,0.023674732574189096,0.010869565217391304,0.019864880622077336,0.3423913043478261,63,59868
405,405000,0.014756393646319097,0.01359223300970874,0.019946457193804404,0.01818181818181818,0.0036363636363636364,0.01183492599649332,0.01594878826310675,0.010126582278481013,0.017122822916259408,0.34810126582278483,55,59868
406,406000,0.02576765116383158,0.01775700934579439,0.035768862465309345,0.016666666666666663,0.004285714285714286,0.011961355290856752,0.022168391758173138,0.012429378531073447,0.02635346414772922,0.3954802259887006,70,59868
407,407000,0.03208643516432643,0.019626168224299065,0.03373422317382124,0.008333333333333333,0.0016666666666666668,0.0032237733936211804,0.02355238660229298,0.01317365269461078,0.02277238492943799,0.3592814371257485,60,59868
408,408000,0.026338301035881678,0.014516129032258067,0.031161501005777584,0.006802721088435374,0.0020408163265306124,0.0034114378564531075,0.02080510209122926,0.010982658959537574,0.023301656529957353,0.2832369942196532,49,59868
409,409000,0.024468909067123353,0.016964285714285713,0.024799575379203385,0.0,0.0,0.0,0.015660101802958945,0.010857142857142859,0.015871728242690165,0.36,63,59868
410,410000,0.035675347580109484,0.016666666666666666,0.027109094290708992,0.007936507936507936,0.0015873015873015873,0.0029297729647550503,0.02642906769890897,0.011640211640211642,0.019049320515391013,0.3333333333333333,63,59868
411,411000,0.04412773918587872,0.024031007751937984,0.03968034470866952,0.0,0.0,0.0,0.029803551596745317,0.016230366492146597,0.02679981396554119,0.32460732984293195,62,59868
