batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
93,93000,0.058621167720214015,0.0625,0.10383348895364669,0.07904061893735918,0.06842105263157897,0.08832886650316721,0.06622841425209164,0.06470588235294118,0.09805725706033082,0.0196078431372549,1,349,51,335,5328
94,94000,0.015943096478115384,0.043076923076923075,0.04277753587428566,0.02703098029478801,0.0625,0.06421420800292897,0.018133295750544544,0.04691358024691358,0.0470119402453757,0.012345679012345678,1,366,81,367,5328
95,95000,0.0369618919856732,0.041379310344827586,0.050256697308981496,0.11890628885858276,0.1111111111111111,0.15378894119009018,0.056369775455572826,0.05789473684210527,0.07477749191240199,0.013157894736842105,1,465,76,401,5328
96,96000,0.01984633303993351,0.03333333333333333,0.04203798641438427,0.04760602502687579,0.075,0.08104376504701996,0.026191405494091744,0.04285714285714286,0.05095359295898671,0.0,0,343,70,433,5328
97,97000,0.04655674085706126,0.06507936507936507,0.08466732044574185,0.05423534798534798,0.04,0.06072290591926399,0.04803339607403948,0.06025641025641026,0.08006262534449612,0.02564102564102564,2,126,78,471,5328
98,98000,0.0680729626983497,0.032,0.060824605575888535,0.02817911255411255,0.095,0.09850477414728986,0.05967425740482609,0.04526315789473683,0.06875727264355198,0.010526315789473684,1,454,95,509,5328
99,99000,0.028027734084792616,0.02857142857142857,0.0358330570675468,0.0057164836330839824,0.09166666666666667,0.08069603215246961,0.022331244607760627,0.04468085106382979,0.04728743368497391,0.0425531914893617,2,492,47,530,5328
100,100000,0.026137035063647607,0.03333333333333333,0.036286899202610155,0.023935715696927786,0.043750000000000004,0.03682074819210045,0.025459706027733824,0.03653846153846154,0.036451160430145624,0.0,0,349,52,549,5328
101,101000,0.05640224938900952,0.03194444444444444,0.04341076742763071,0.08335877085877086,0.037500000000000006,0.05779976771803785,0.061303435110784295,0.03295454545454546,0.04602694929861383,0.0,0,123,88,88,5328
102,102000,0.06750367301775825,0.0509433962264151,0.08013143458749063,0.028344671201814057,0.18571428571428572,0.18482880477628263,0.0629351228058981,0.06666666666666667,0.09234612777618303,0.0,0,141,60,139,5328
103,103000,0.026416536290646855,0.031746031746031744,0.04131738355101109,0.02053937854211452,0.0642857142857143,0.0869037666560468,0.025347962154550065,0.03766233766233767,0.049605816842835763,0.012987012987012988,1,244,77,197,5328
104,104000,0.038422041415939204,0.03333333333333333,0.03619772856152602,0.013823250097759901,0.09166666666666667,0.1141210871460198,0.03350228315230334,0.045,0.051782400278424776,0.016666666666666666,1,397,60,232,5328
105,105000,0.024464307151532638,0.032432432432432434,0.03884019756251511,0.058145046137189696,0.13846153846153844,0.1662640971402586,0.03322129928780347,0.06,0.07197041145272844,0.0,0,602,50,255,5328
106,106000,0.06517660729727578,0.0348314606741573,0.06609418112215387,0.014508614365867681,0.058823529411764705,0.07095105143358998,0.05705060843091788,0.038679245283018866,0.06687311315323326,0.02830188679245283,3,194,106,310,5328
107,107000,0.035051931092420885,0.025000000000000005,0.03605630730853002,0.02582569959802103,0.05625,0.06128510769961677,0.033374434457075455,0.030681818181818185,0.04064336192509125,0.011363636363636364,1,335,88,349,5328
108,108000,0.045564297378038736,0.04375,0.06151418056668936,0.0516987337921594,0.07058823529411766,0.08399580610238258,0.046639404790822764,0.048453608247422675,0.06545425926882116,0.010309278350515464,1,169,97,391,5328
109,109000,0.06914865414597525,0.05096153846153846,0.08192008494826021,0.06066176470588235,0.011764705882352941,0.022640946983676826,0.06795628124943327,0.045454545454545456,0.07359161101935181,0.0,0,130,121,436,5328
110,110000,0.026200340126490564,0.031034482758620693,0.036042902367228104,0.009092098377812663,0.03571428571428571,0.025584151665223175,0.02287373756424764,0.03194444444444445,0.034009256397393814,0.013888888888888888,1,141,72,463,5328
111,111000,0.02732824053874427,0.04,0.04494404085627519,0.0038966365873666937,0.0125,0.020633603090445016,0.022968872361743792,0.034883720930232565,0.040421168713795155,0.011627906976744186,1,132,86,488,5328
112,112000,0.040781341648469964,0.040740740740740744,0.05987663078614447,0.005697278911564625,0.08,0.08205228949141825,0.03529945684582851,0.046875,0.0633415774588435,0.0,0,341,64,506,5328
113,113000,0.06645224704882823,0.037349397590361454,0.058933804702159365,0.08655342530940616,0.07272727272727274,0.09556018893135644,0.06880451258995968,0.041489361702127664,0.06321987094174626,0.0,0,195,94,530,5328
114,114000,0.042115046233704004,0.024242424242424246,0.03315413820501952,0.028191478091363673,0.09444444444444444,0.1008184914641485,0.039972958827190104,0.03504273504273504,0.043564038706423974,0.008547008547008548,1,276,117,558,5328
115,115000,0.02928131565265785,0.02989690721649485,0.036549239680326605,0.011382113821138212,0.025,0.028556199240328622,0.026746915393327637,0.02920353982300885,0.03541748174191981,0.0,0,113,113,583,5328
116,116000,0.026837096724088613,0.02441860465116279,0.03301505506813175,0.010866166353971233,0.02307692307692308,0.018376044141098766,0.024739903847204512,0.024242424242424246,0.031092760703975902,0.0,0,179,99,600,5328
117,117000,0.027290996557839654,0.030337078651685397,0.03422491045507584,0.04696969696969697,0.03333333333333333,0.05633399194769979,0.029629059973109835,0.030693069306930693,0.03685173201855591,0.009900990099009901,1,114,101,623,5328
118,118000,0.022679570850691055,0.028947368421052635,0.035792216969997036,0.0062499999999999995,0.018750000000000003,0.02401945953777551,0.019822254181005656,0.02717391304347826,0.033744780894828075,0.0,0,139,92,636,5328
119,119000,0.025934417454203832,0.029591836734693875,0.040833671222745886,0.00625,0.03333333333333333,0.03303059216467872,0.023321441685946687,0.03008849557522124,0.0397978642681352,0.0,0,186,113,657,5328
120,120000,0.04912553805214286,0.02463768115942029,0.0458323430694227,0.001349527665317139,0.007692307692307693,0.008465067934541545,0.04155129250301196,0.02195121951219512,0.03990826286511228,0.012195121951219513,1,174,82,669,5328
121,121000,0.036049644837482304,0.02631578947368421,0.033190085462691185,0.01111111111111111,0.037500000000000006,0.03837684129280817,0.03171250853724384,0.02826086956521739,0.03409212995488545,0.021739130434782608,1,115,46,46,5328
