batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg
39,39000,0.12000000000000001,0.03333333333333334,0.06471541657238095,0.3333333333333333,0.06216931216931217,0.039974226167312166,0.32499999999999996,0.30462884615214425,0.75,0.3895833333333333,0.08234081231402925,0.17058823529411765,0.17761585402168134,0.5294117647058824,0.21624649859943978,5,0.29411764705882354,5328,11.734173919844029,11.656405754159085,56.87456414958051,11.66254661575522,11.6817457299365,11.674644771880564,11.698638613551887,126.9827195547078
40,40000,0.013020022823944393,0.08888888888888888,0.09428918432266556,0.2222222222222222,0.12698412698412698,0.06224742967893547,0.3,0.3337241962711535,0.7142857142857143,0.5535714285714286,0.04298453134437374,0.21739130434782614,0.24003223507391908,0.5217391304347826,0.38664596273291924,8,0.34782608695652173,5328,11.689249032705538,11.655448640423595,56.52942510117522,11.662850282909144,11.730739447124785,11.681383347984797,11.79700350027301,126.74609935259609
41,41000,0.0487241302573993,0.1,0.1110973030685706,0.4,0.17250000000000001,0.04801588259093963,0.22307692307692312,0.21987309256532248,0.6923076923076923,0.33269230769230773,0.04832381635896558,0.16956521739130434,0.17257927104499557,0.5652173913043478,0.26304347826086955,8,0.34782608695652173,5328,11.732420308541853,11.658578456029064,57.07147012206856,11.662960848767694,11.726622829920547,11.670802994694258,11.805161807846783,127.32801736786875
42,42000,0.02309668218759128,0.07272727272727272,0.07961581906225645,0.36363636363636365,0.17676767676767677,0.03285850621890306,0.2307692307692308,0.21899370452588485,0.5384615384615384,0.26868131868131867,0.028384336871218486,0.15833333333333333,0.1551121736883885,0.4583333333333333,0.2265542328042328,8,0.3333333333333333,5328,11.732977576950354,11.666853216226423,56.87256661033886,11.660578128115835,11.726592006375443,11.671023288324818,11.77616464977365,127.10675547610538
43,43000,0.0935064935064935,0.018181818181818184,0.03403581070575829,0.18181818181818182,0.023088023088023088,0.0847623672929863,0.3555555555555555,0.4086458985838417,0.8888888888888888,0.7361111111111112,0.08957163671041525,0.16999999999999998,0.20261035025089585,0.5,0.3439484126984127,4,0.2,5328,11.711715045830024,11.655585257199647,56.858384417290445,11.66136986633943,11.721659319203527,11.672507037770174,11.74473894232069,127.02595988595394
44,44000,0.019168231269315588,0.1111111111111111,0.09868139855481907,0.3888888888888889,0.15493827160493825,0.0847545501420346,0.22999999999999998,0.26553130692701954,0.7,0.41,0.042591916581000956,0.15357142857142855,0.1582706515448907,0.5,0.24603174603174605,4,0.14285714285714285,5328,11.73268348190256,11.656416223060871,56.93251813721975,11.661632429927488,11.74335229025495,11.680247118854917,11.717119505334079,127.12396918655463
45,45000,0.005952380952380952,0.008333333333333333,0.009170490262420007,0.08333333333333333,0.027777777777777776,0.06639057804337309,0.2733333333333333,0.3132814851267479,0.7333333333333333,0.5373015873015873,0.03952915711404325,0.15555555555555553,0.17812104296482442,0.4444444444444444,0.3108465608465608,9,0.3333333333333333,5328,11.71320894491866,11.667985874793189,56.09756185677699,11.661420720440741,11.749226859173941,11.672739258191886,11.779212916986081,126.3413564312815
46,46000,0.020630177204571668,0.029411764705882353,0.022808846218696083,0.17647058823529413,0.03676470588235294,0.05128726346826799,0.1933333333333333,0.21084192668075435,0.6666666666666666,0.41555555555555557,0.03500068639067932,0.10625000000000001,0.11094935268528591,0.40625,0.21432291666666664,7,0.21875,5328,11.719068573117983,11.656083114498436,56.36480193494005,11.662027576292768,11.748982134908784,11.674211535444256,11.793227381322497,126.61840225052478
47,47000,0.020833333333333332,0.0125,0.01304103910567388,0.0625,0.010416666666666666,0.052614802121823845,0.35000000000000003,0.36984404716740166,0.8333333333333334,0.5875,0.03445396281411498,0.15714285714285717,0.16595661398927156,0.39285714285714285,0.25773809523809527,6,0.21428571428571427,5328,11.729298511129263,11.65605161332524,56.37689825510172,11.661147096621825,11.748810068168588,11.681693077182816,11.757658205139958,126.61155682666941
48,48000,0.044101169879716594,0.03529411764705883,0.049321674917104937,0.29411764705882354,0.09010270774976659,0.11079702419505749,0.2,0.2276730992839395,0.6363636363636364,0.39848484848484844,0.08172447231401146,0.1282051282051282,0.14993017071378084,0.48717948717948717,0.2640618640618641,11,0.28205128205128205,5328,11.714466725151057,11.655917022779064,56.80133547397715,11.661879941398007,11.782639021087892,11.6793569145731,11.789107372671415,127.08470247163768
49,49000,0.033582089552238806,0.04375,0.06758737280587922,0.1875,0.140625,0.06477391351746653,0.27142857142857146,0.29278136199291876,0.6428571428571429,0.5178571428571429,0.04813827406934508,0.15,0.1726779010931643,0.4,0.31666666666666665,5,0.16666666666666666,5328,11.717875793867613,11.655955402883714,56.873734240849366,11.657844026535281,11.722836394297172,11.676901099141011,11.74416520547273,127.04931216304688
50,50000,0.14834001782531195,0.05,0.11243533455768483,0.375,0.1220238095238095,0.09845673178276426,0.3,0.3492933211642583,0.6363636363636364,0.5681818181818182,0.11946022064278435,0.19473684210526315,0.24956364259306948,0.5263157894736842,0.38032581453634084,5,0.2631578947368421,5328,11.732715219600967,11.655987195771482,56.94091752553483,11.661030612055908,11.724037811256146,11.67065434130518,11.743584269052233,127.12892697457676
51,51000,0.10505510929774604,0.049999999999999996,0.09019934461232144,0.4166666666666667,0.26666666666666666,0.06853050594791722,0.3,0.3254508009286722,0.8235294117647058,0.5573529411764707,0.08364413492026018,0.196551724137931,0.22810537072880288,0.6551724137931034,0.4370689655172414,8,0.27586206896551724,5328,11.686652560684644,11.651086088628956,55.94355037863343,11.661109493106038,11.74517275690911,11.67714471218481,11.779442038373743,126.14415802852074
52,52000,0.006808278867102397,0.041666666666666664,0.03558017295487697,0.16666666666666666,0.048611111111111105,0.059488489467185185,0.24375,0.2524279633957667,0.75,0.3866319444444445,0.03691125635286398,0.1571428571428571,0.15949319606395676,0.5,0.24176587301587302,4,0.14285714285714285,5328,11.714243164473274,11.656611412549575,57.6659340179508,11.664081183938684,11.747363016811375,11.677775394620776,11.743372802847443,127.86938099319194
53,53000,0.09444444444444444,0.03333333333333333,0.04446505428610514,0.3333333333333333,0.044642857142857144,0.03941373587701228,0.2785714285714285,0.2905630355656762,0.7142857142857143,0.4722222222222222,0.055922948447241924,0.205,0.21673364118180488,0.6,0.3439484126984127,5,0.25,5328,11.715113863719484,11.65715412679378,56.64110551330086,11.66152520136899,11.719103633992326,11.678229592580399,11.753399547179827,126.82563147893566
54,54000,0.007142857142857143,0.025,0.026528295746614323,0.125,0.0625,0.05315289967673666,0.3166666666666667,0.3459138997745544,0.75,0.5952380952380952,0.034748882663184856,0.2,0.21815965816337837,0.5,0.3821428571428571,8,0.4,5328,11.737400381376869,11.65753129726832,55.94373324071134,11.660984036363821,11.718545695428052,11.683763427789915,11.788279259728613,126.19023733866692
55,55000,0.040405701754385966,0.03125,0.06730556977788378,0.1875,0.1375,0.017669656550589444,0.13846153846153847,0.1603925711952641,0.46153846153846156,0.36538461538461536,0.03021368149061511,0.0793103448275862,0.10903422558567494,0.3103448275862069,0.2396551724137931,5,0.1724137931034483,5328,11.711381701983575,11.656504286486346,57.10003615553259,11.663454933898143,11.748646912552834,11.676670635122482,11.815149460507428,127.37184408608339
