batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
70,70000,0.0156565656565656,0.0499999999999999,0.0424615976294047,0.0447099449782376,0.18,0.1834652061917152,0.0306841756505339,0.1172413793103448,0.1153944986099102,0.1379310344827586,4,721,29,228,5328,375,15,0.5172413793103449,92
71,71000,0.1013888888888889,0.02,0.0555666229672912,0.0329296905044578,0.2384615384615384,0.269759069067117,0.0696042610675459,0.1214285714285714,0.1550131157993532,0.3214285714285714,9,810,28,252,5328,511,13,0.4642857142857143,103
72,72000,0.0095638104146216,0.0473684210526315,0.0423626306019121,0.0742752799681843,0.1823529411764706,0.2290290551704054,0.0401220043704706,0.1111111111111111,0.1305106644259228,0.1944444444444444,7,777,36,276,5328,577,17,0.4722222222222222,111
73,73000,0.0327485380116959,0.04,0.0651154288294416,0.0769523185896554,0.3125,0.3627179415241777,0.0599508645212094,0.2076923076923076,0.2482554366415869,0.3846153846153846,10,955,26,294,5328,815,16,0.6153846153846154,122
74,74000,0.0249607535321821,0.0769230769230769,0.0827177832783024,0.0638873469480505,0.323076923076923,0.3265670312874377,0.0444240502401163,0.2,0.20464240728287,0.3076923076923077,8,771,26,307,5328,554,13,0.5,132
75,75000,0.0918367346938775,0.0499999999999999,0.0731361304935013,0.0285705414713479,0.1611111111111111,0.1920324952060025,0.0562495010062046,0.1125,0.1400153356442833,0.21875,7,931,32,323,5328,439,18,0.5625,139
76,76000,0.0881362646068528,0.0588235294117647,0.0763825147397124,0.0568107601222091,0.1999999999999999,0.2269494385863257,0.0739892625815298,0.1225806451612903,0.1443804803478603,0.2258064516129032,7,820,31,338,5328,469,14,0.45161290322580644,146
77,77000,0.0220264469198172,0.0193548387096774,0.0212310782719408,0.0725521328105119,0.1653846153846154,0.1699405719379201,0.0450732510103095,0.0859649122807017,0.0890634788915103,0.2456140350877192,14,760,57,372,5328,650,26,0.45614035087719296,163
78,78000,0.0820393374741201,0.0304347826086956,0.07526920349792,0.0730225421211393,0.2222222222222222,0.2177798039179944,0.0780807443923236,0.1146341463414634,0.1378348329506357,0.2439024390243902,10,602,41,398,5328,485,18,0.43902439024390244,174
79,79000,0.018781512605042,0.016,0.0168805184820108,0.0369758936630699,0.1458333333333333,0.1689860371868468,0.0276930461844842,0.0795918367346938,0.0913811807047876,0.2653061224489796,13,869,49,424,5328,647,24,0.4897959183673469,190
80,80000,0.0,0.0,0.0,0.0354950448076829,0.1636363636363636,0.1897937743343152,0.0223111710219721,0.1028571428571428,0.1192989438672838,0.3142857142857143,11,977,35,442,5328,909,22,0.6285714285714286,201
81,81000,0.0625,0.00625,0.0241783004521588,0.0477931896800158,0.2235294117647059,0.2544888278974802,0.0549237643806142,0.1181818181818182,0.1428231176209607,0.2727272727272727,9,950,33,33,5328,584,17,0.5151515151515151,17
82,82000,0.0060532687651331,0.0357142857142857,0.0403245828121728,0.0372169637736211,0.2272727272727272,0.226752120486177,0.0197652945688679,0.12,0.1223526993887347,0.2,5,907,25,52,5328,340,11,0.44,25
